Linea;Origen;Destino;Solucion 1
Llobregat - Anoia;ALMEDA;AERI DE MONTSERRAT;"Entrada per CARRER SANT FERRAN: Accedeixi a l'estació per CARRER SANT FERRAN, vagi fins VESTÍBUL (NOU), passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R5(14 parades). Baixi a AERI DE MONTSERRAT(Només s'utilitza una andana per als dos sentits de circulació). 
 Per sortir per APARCAMENT: Surti de l'estació per APARCAMENT, mitjançant rampa i travessant la passera o passadís.
 Aquest recorregut es pot realitzar amb qualsevol comboi (3 cotxes i 6 cotxes)."
Llobregat - Anoia;ALMEDA;ELS QUATRE CAMINS;"Entrada per CARRER SANT FERRAN: Accedeixi a l'estació per CARRER SANT FERRAN, vagi fins VESTÍBUL (NOU), passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de les línies R5(6 parades) o R6(7 parades) o S4 o S8(8 parades). Baixi a ELS QUATRE CAMINS. 
 Per sortir per APARCAMENT: Dirigeixis cap a VESTÍBUL seguint indicador sortida, fent servir l'ascensor o mitjançant rampa. Surti de l'estació per APARCAMENT, passant per la validadora.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;ALMEDA;CASTELLBELL I EL VILAR;"Entrada per CARRER SANT FERRAN: Accedeixi a l'estació per CARRER SANT FERRAN, vagi fins VESTÍBUL (NOU), passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R5(16 parades). Baixi a CASTELLBELL I EL VILAR(Només s'utilitza una andana per als dos sentits de circulació). 
 Per sortir per CAMÍ DE L'ESTACIÓ: Surti de l'estació per CAMÍ DE L'ESTACIÓ.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;ALMEDA;EL PALAU;"Entrada per CARRER SANT FERRAN: Accedeixi a l'estació per CARRER SANT FERRAN, vagi fins VESTÍBUL (NOU), passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de les línies R5(9 parades) o R6(10 parades) o S4 o S8(11 parades). Baixi a EL PALAU. 
 Per sortir per CARRER PARC VALL PALAU: Dirigeixis cap a VESTÍBUL ANDANA VIA 1 seguint indicador sortida. Surti de l'estació per CARRER PARC VALL PALAU, fent servir l'ascensor o mitjançant rampa, passant per la validadora.
 Per sortir per CARRER ANOIA: Dirigeixis cap a VESTÍBUL ANDANA VIA 1 seguint indicador sortida. Vagi de VESTÍBUL ANDANA VIA 1 fins a VESTÍBUL ANDANA VIA 2, fent servir l'ascensor o mitjançant rampa i travessant la passera o passadís, passant per la validadora. Surti de l'estació per CARRER ANOIA, passant per la validadora.
 Aquest recorregut es pot realitzar amb qualsevol comboi (3 cotxes i 6 cotxes)."
Llobregat - Anoia;ALMEDA;CAN PARELLADA;"Entrada per CARRER SANT FERRAN: Accedeixi a l'estació per CARRER SANT FERRAN, vagi fins VESTÍBUL (NOU), passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R6(15 parades). Baixi a CAN PARELLADA(Només s'utilitza una andana per als dos sentits de circulació). 
 Per sortir per AVDA. DEL BAIXADOR: Surti de l'estació per AVDA. DEL BAIXADOR, mitjançant rampa i travessant la passera o passadís.
 Per sortir per CARRER JOSEP MARIA VALLS: Surti de l'estació per CARRER JOSEP MARIA VALLS, mitjançant rampa.
 Aquest recorregut es pot realitzar amb qualsevol comboi (3 cotxes i 6 cotxes)."
Llobregat - Anoia;ALMEDA;MARTORELL - VILA;"Entrada per CARRER SANT FERRAN: Accedeixi a l'estació per CARRER SANT FERRAN, vagi fins VESTÍBUL (NOU), passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de les línies S4 o S8(12 parades). Baixi a MARTORELL - VILA. 
 Per sortir per ESTACIONAMENT: Dirigeixis cap a VESTÍBUL seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per ESTACIONAMENT, mitjançant rampa i travessant la passera o passadís, passant per la validadora.
 Per sortir per CARRETERA DE MARTORELL A TERRASSA: Dirigeixis cap a VESTÍBUL seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per CARRETERA DE MARTORELL A TERRASSA, passant per la validadora.
 Aquest recorregut es pot realitzar amb qualsevol comboi (3 cotxes i 6 cotxes)."
Llobregat - Anoia;ALMEDA;MASQUEFA;"Entrada per CARRER SANT FERRAN: Accedeixi a l'estació per CARRER SANT FERRAN, vagi fins VESTÍBUL (NOU), passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R6(16 parades). Baixi a MASQUEFA(PAS A NIVELL ADAPTAT ENTRE ANDANES). 
 Per sortir per CARRER MONTSERRAT: Surti de l'estació per CARRER MONTSERRAT, mitjançant rampa i travessant la passera o passadís.
 Per sortir per PAS A NIVELL CARRER MONTSERRAT: Vagi de l'andana de la via 1 fins l'andana de la via 2(PAS A NIVELL ADAPTAT ENTRE ANDANES), mitjançant rampa i travessant la passera o passadís. Surti de l'estació per PAS A NIVELL CARRER MONTSERRAT, mitjançant rampa.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;ALMEDA;OLESA DE MONTSERRAT;"Entrada per CARRER SANT FERRAN: Accedeixi a l'estació per CARRER SANT FERRAN, vagi fins VESTÍBUL (NOU), passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de les línies R5(13 parades) o S4(16 parades). Baixi a OLESA DE MONTSERRAT. 
 Per sortir per PLAÇA DEL DOCTOR FLEMING: Dirigeixis cap a VESTÍBUL seguint indicador sortida. Surti de l'estació per PLAÇA DEL DOCTOR FLEMING, passant per la validadora.
 Aquest recorregut es pot realitzar amb qualsevol comboi (3 cotxes i 6 cotxes)."
Llobregat - Anoia;ALMEDA;CAPELLADES;"Entrada per CARRER SANT FERRAN: Accedeixi a l'estació per CARRER SANT FERRAN, vagi fins VESTÍBUL (NOU), passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R6(19 parades). Baixi a CAPELLADES. 
 Per sortir per APARCAMENT: Surti de l'estació per APARCAMENT, mitjançant rampa i travessant la passera o passadís.
 Aquest recorregut es pot realitzar amb qualsevol comboi (3 cotxes i 6 cotxes)."
Llobregat - Anoia;ALMEDA;MANRESA - VILADORDÍS;"Entrada per CARRER SANT FERRAN: Accedeixi a l'estació per CARRER SANT FERRAN, vagi fins VESTÍBUL (NOU), passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R5(18 parades). Baixi a MANRESA - VILADORDÍS(Només s'utilitza una andana per als dos sentits de circulació). 
 Per sortir per CARRER ARQUITECTE MONTAGUT: Dirigeixis cap a VESTÍBUL seguint indicador sortida. Surti de l'estació per CARRER ARQUITECTE MONTAGUT, passant per la validadora.
 Aquest recorregut es pot realitzar amb qualsevol comboi (3 cotxes i 6 cotxes)."
Llobregat - Anoia;ALMEDA;VILANOVA DEL CAMÍ;"Entrada per CARRER SANT FERRAN: Accedeixi a l'estació per CARRER SANT FERRAN, vagi fins VESTÍBUL (NOU), passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R6(21 parades). Baixi a VILANOVA DEL CAMÍ. 
 Per sortir per CARRETERA DE LA POBLA: Surti de l'estació per CARRETERA DE LA POBLA, fent servir l'ascensor o mitjançant rampa i travessant la passera o passadís.
 Per sortir per AVDA. DE LA INDÚSTRIA: Surti de l'estació per AVDA. DE LA INDÚSTRIA, fent servir l'ascensor o mitjançant rampa i travessant la passera o passadís.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;ALMEDA;SANT ESTEVE SESROVIRES;"Entrada per CARRER SANT FERRAN: Accedeixi a l'estació per CARRER SANT FERRAN, vagi fins VESTÍBUL (NOU), passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R6(13 parades). Baixi a SANT ESTEVE SESROVIRES. 
 Per sortir per PASSEIG DE L'ESTACIÓ: Dirigeixis cap a VESTÍBUL VIA 1 seguint indicador sortida. Surti de l'estació per PASSEIG DE L'ESTACIÓ, fent servir l'ascensor i travessant la passera o passadís.
 Per sortir per CARRER VALLSERRAT - CARRER CONSTITUCIÓ: Dirigeixis cap a VESTÍBUL VIA 1 seguint indicador sortida. Surti de l'estació per CARRER VALLSERRAT - CARRER CONSTITUCIÓ, fent servir l'ascensor o mitjançant rampa.
 Per sortir per CARRER VALLSERRAT - CARRER CONSTITUCIÓ (ESTACIONAMENT): Dirigeixis cap a VESTÍBUL VIA 1 seguint indicador sortida. Surti de l'estació per CARRER VALLSERRAT - CARRER CONSTITUCIÓ (ESTACIONAMENT), fent servir l'ascensor o mitjançant rampa.
 Aquest recorregut es pot realitzar amb qualsevol comboi (3 cotxes i 6 cotxes)."
Llobregat - Anoia;ALMEDA;IGUALADA;"Entrada per CARRER SANT FERRAN: Accedeixi a l'estació per CARRER SANT FERRAN, vagi fins VESTÍBUL (NOU), passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R6(22 parades). Baixi a IGUALADA. 
 Per sortir per AVDA. PAU CASALS: Dirigeixis cap a VESTÍBUL seguint indicador sortida. Surti de l'estació per AVDA. PAU CASALS, passant per la validadora.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;ALMEDA;LA BEGUDA;"Entrada per CARRER SANT FERRAN: Accedeixi a l'estació per CARRER SANT FERRAN, vagi fins VESTÍBUL (NOU), passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R6(14 parades). Baixi a LA BEGUDA(Només s'utilitza una andana per als dos sentits de circulació). 
 Per sortir per CAMÍ DE L'ESTACIÓ: Surti de l'estació per CAMÍ DE L'ESTACIÓ.
 Aquest recorregut es pot realitzar amb qualsevol comboi (3 cotxes i 6 cotxes)."
Llobregat - Anoia;CORNELLÀ - RIERA;PL. ESPANYA;"Entrada per EDICLE SUD (VORERA LATERAL): Accedeixi a l'estació per EDICLE SUD (VORERA LATERAL), fent servir l'ascensor, vagi fins EMBARCAMENT PMR, passant per la validadora.
 ITINERARI: Accedeixi a qualsevol comboi de les línies L8,R5,R6,S33,S4 o S8(8 parades). Baixi a PL. ESPANYA. 
 Per sortir per GRAN VIA: Dirigeixis cap a VESTÍBUL INFERIOR seguint indicador sortida. Vagi de VESTÍBUL INFERIOR fins a VESTÍBUL SUPERIOR, fent servir l'ascensor, passant per la validadora. Surti de l'estació per GRAN VIA, fent servir l'ascensor.
 Per sortir per METRO L1: Dirigeixis cap a VESTÍBUL INFERIOR seguint indicador sortida. Surti de l'estació per METRO L1, travessant la passera o passadís, passant per la validadora.
 Aquest recorregut es pot realitzar amb qualsevol comboi (3 cotxes i 6 cotxes)."
Llobregat - Anoia;ALMEDA;LA POBLA DE CLARAMUNT;"Entrada per CARRER SANT FERRAN: Accedeixi a l'estació per CARRER SANT FERRAN, vagi fins VESTÍBUL (NOU), passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R6(20 parades). Baixi a LA POBLA DE CLARAMUNT. 
 Per sortir per APARCAMENT (COSTAT VIA 2): Surti de l'estació per APARCAMENT (COSTAT VIA 2), mitjançant rampa i travessant la passera o passadís.
 Per sortir per AVDA. GUMERSIND BISBAL: Surti de l'estació per AVDA. GUMERSIND BISBAL, mitjançant rampa.
 Aquest recorregut es pot realitzar amb qualsevol comboi (3 cotxes i 6 cotxes)."
Llobregat - Anoia;CORNELLÀ - RIERA;EUROPA - FIRA;"Entrada per EDICLE SUD (VORERA LATERAL): Accedeixi a l'estació per EDICLE SUD (VORERA LATERAL), fent servir l'ascensor, vagi fins EMBARCAMENT PMR, passant per la validadora.
 ITINERARI: Accedeixi a qualsevol comboi de les línies L8,R5,R6,S33,S4 o S8(5 parades). Baixi a EUROPA - FIRA. 
 Per sortir per GRAN VIA: Dirigeixis cap a VESTÍBUL  seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per GRAN VIA, fent servir l'ascensor, passant per la validadora.
 Per sortir per PLAÇA EUROPA: Dirigeixis cap a VESTÍBUL  seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per PLAÇA EUROPA, fent servir l'ascensor, passant per la validadora.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;CORNELLÀ - RIERA;ILDEFONS CERDÀ;"Entrada per EDICLE SUD (VORERA LATERAL): Accedeixi a l'estació per EDICLE SUD (VORERA LATERAL), fent servir l'ascensor, vagi fins EMBARCAMENT PMR, passant per la validadora.
 ITINERARI: Accedeixi a qualsevol comboi de les línies L8,R5,R6,S33,S4 o S8(6 parades). Baixi a ILDEFONS CERDÀ. 
 Per sortir per GRAN VIA - ALHAMBRA: Dirigeixis cap a VESTÍBUL  seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per GRAN VIA - ALHAMBRA, fent servir l'ascensor, passant per la validadora.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;CORNELLÀ - RIERA;GORNAL;"Entrada per EDICLE SUD (VORERA LATERAL): Accedeixi a l'estació per EDICLE SUD (VORERA LATERAL), fent servir l'ascensor, vagi fins EMBARCAMENT PMR, passant per la validadora.
 ITINERARI: Accedeixi a qualsevol comboi de les línies L8,R5,R6,S33,S4 o S8(4 parades). Baixi a GORNAL. 
 Per sortir per CARRER CARMEN AMAYA: Dirigeixis cap a VESTÍBUL  seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per CARRER CARMEN AMAYA, fent servir l'ascensor, passant per la validadora.
 Aquest recorregut es pot realitzar amb qualsevol comboi (3 cotxes i 6 cotxes)."
Llobregat - Anoia;CORNELLÀ - RIERA;ST. JOSEP;"Entrada per EDICLE SUD (VORERA LATERAL): Accedeixi a l'estació per EDICLE SUD (VORERA LATERAL), fent servir l'ascensor, vagi fins EMBARCAMENT PMR, passant per la validadora.
 ITINERARI: Accedeixi a qualsevol comboi de les línies L8,R5,R6,S33,S4 o S8(3 parades). Baixi a ST. JOSEP. 
 Per sortir per CARRER S. COMPOSTEL·LA - AV. CARRILET: Dirigeixis cap a VESTÍBUL  seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per CARRER S. COMPOSTEL·LA - AV. CARRILET, fent servir l'ascensor, passant per la validadora.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;CORNELLÀ - RIERA;STA. COLOMA DE CERVELLÓ;"Entrada per EDICLE NORD (PASSEIG CENTRAL): Accedeixi a l'estació per EDICLE NORD (PASSEIG CENTRAL), fent servir l'ascensor, vagi fins EMBARCAMENT PMR, passant per la validadora.
 ITINERARI: Accedeixi a qualsevol comboi de les línies R6(3 parades) o S33,S4 o S8(4 parades). Baixi a STA. COLOMA DE CERVELLÓ. 
 Per sortir per CARRER ANTONI SÀBAT AMAT: Dirigeixis cap a VESTÍBUL seguint indicador sortida, fent servir l'ascensor o mitjançant rampa i travessant la passera o passadís. Surti de l'estació per CARRER ANTONI SÀBAT AMAT, passant per la validadora.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;CORNELLÀ - RIERA;ALMEDA;"Entrada per EDICLE SUD (VORERA LATERAL): Accedeixi a l'estació per EDICLE SUD (VORERA LATERAL), fent servir l'ascensor, vagi fins EMBARCAMENT PMR, passant per la validadora.
 ITINERARI: Accedeixi a qualsevol comboi de les línies L8,R5,R6,S33,S4 o S8(1 parada). Baixi a ALMEDA. 
 Per sortir per CARRER SANT FERRAN: Dirigeixis cap a VESTÍBUL (NOU) seguint indicador sortida, fent servir l'ascensor i travessant la passera o passadís. Surti de l'estació per CARRER SANT FERRAN, passant per la validadora.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;CORNELLÀ - RIERA;PALLEJÀ;"Entrada per EDICLE NORD (PASSEIG CENTRAL): Accedeixi a l'estació per EDICLE NORD (PASSEIG CENTRAL), fent servir l'ascensor, vagi fins EMBARCAMENT PMR, passant per la validadora.
 ITINERARI: Accedeixi a qualsevol comboi de les línies R5(6 parades) o R6(7 parades) o S4 o S8(8 parades). Baixi a PALLEJÀ. 
 Per sortir per CARRER PI I MARGALL: Dirigeixis cap a VESTÍBUL ANDANA VIA 1 seguint indicador sortida. Surti de l'estació per CARRER PI I MARGALL, passant per la validadora.
 Per sortir per CARRER DE L'ESGLÈSIA: Vagi de l'andana de la via 1 fins l'andana de la via 2, fent servir l'ascensor i travessant la passera o passadís. Dirigeixis cap a VESTÍBUL ANDANA VIA 2 seguint indicador sortida. Surti de l'estació per CARRER DE L'ESGLÈSIA, fent servir l'ascensor, passant per la validadora.
 Aquest recorregut es pot realitzar amb qualsevol comboi (3 cotxes i 6 cotxes)."
Llobregat - Anoia;CORNELLÀ - RIERA;SANT BOI;"Entrada per EDICLE NORD (PASSEIG CENTRAL): Accedeixi a l'estació per EDICLE NORD (PASSEIG CENTRAL), fent servir l'ascensor, vagi fins EMBARCAMENT PMR, passant per la validadora.
 ITINERARI: Accedeixi a qualsevol comboi de les línies L8,R5,R6,S33,S4 o S8(1 parada). Baixi a SANT BOI. 
 Per sortir per CARRER TORRES I BAGES: Dirigeixis cap a VESTÍBUL INFERIOR seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per CARRER TORRES I BAGES, fent servir l'ascensor o mitjançant rampa, passant per la validadora.
 Per sortir per APARCAMENT: Dirigeixis cap a VESTÍBUL INFERIOR seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per APARCAMENT, mitjançant rampa i travessant la passera o passadís, passant per la validadora.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;CORNELLÀ - RIERA;MONISTROL DE MONTSERRAT;"Entrada per EDICLE NORD (PASSEIG CENTRAL): Accedeixi a l'estació per EDICLE NORD (PASSEIG CENTRAL), fent servir l'ascensor, vagi fins EMBARCAMENT PMR, passant per la validadora.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R5(14 parades). Baixi a MONISTROL DE MONTSERRAT(Entre les 09.20 i les 13.40 les circulacions sentit Manresa s’estacionen a via 2 i les circulacions sentit Barcelona ho fan a la via 1 per facilitar el transbordament dels viatgers al Cremallera de Montserrat). 
 Per sortir per CARRER SALVADOR ESPRIU: Dirigeixis cap a VESTÍBUL seguint indicador sortida, fent servir l'ascensor i travessant la passera o passadís. Surti de l'estació per CARRER SALVADOR ESPRIU, mitjançant rampa.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;CORNELLÀ - RIERA;ST. VICENÇ DELS HORTS;"Entrada per EDICLE NORD (PASSEIG CENTRAL): Accedeixi a l'estació per EDICLE NORD (PASSEIG CENTRAL), fent servir l'ascensor, vagi fins EMBARCAMENT PMR, passant per la validadora.
 ITINERARI: Accedeixi a qualsevol comboi de les línies R5(3 parades) o R6(4 parades) o S33,S4 o S8(5 parades). Baixi a ST. VICENÇ DELS HORTS. 
 Per sortir per CARRER ANSELM CLAVÉ: Dirigeixis cap a VESTÍBUL ANDANA VIA 1 seguint indicador sortida. Surti de l'estació per CARRER ANSELM CLAVÉ, passant per la validadora.
 Per sortir per CARRER FERRÉS I COSTA: Dirigeixis cap a VESTÍBUL ANDANA VIA 1 seguint indicador sortida. Vagi de VESTÍBUL ANDANA VIA 1 fins a VESTÍBUL ANDANA VIA 2, mitjançant rampa i travessant la passera o passadís, passant per la validadora. Surti de l'estació per CARRER FERRÉS I COSTA, mitjançant rampa, passant per la validadora.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;CORNELLÀ - RIERA;MANRESA - VILADORDÍS;"Entrada per EDICLE NORD (PASSEIG CENTRAL): Accedeixi a l'estació per EDICLE NORD (PASSEIG CENTRAL), fent servir l'ascensor, vagi fins EMBARCAMENT PMR, passant per la validadora.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R5(17 parades). Baixi a MANRESA - VILADORDÍS(Només s'utilitza una andana per als dos sentits de circulació). 
 Per sortir per CARRER ARQUITECTE MONTAGUT: Dirigeixis cap a VESTÍBUL seguint indicador sortida. Surti de l'estació per CARRER ARQUITECTE MONTAGUT, passant per la validadora.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;CORNELLÀ - RIERA;SANT ANDREU DE LA BARCA;"Entrada per EDICLE NORD (PASSEIG CENTRAL): Accedeixi a l'estació per EDICLE NORD (PASSEIG CENTRAL), fent servir l'ascensor, vagi fins EMBARCAMENT PMR, passant per la validadora.
 ITINERARI: Accedeixi a qualsevol comboi de les línies R5(7 parades) o R6(8 parades) o S4 o S8(9 parades). Baixi a SANT ANDREU DE LA BARCA. 
 Per sortir per PG RAFAEL DE CASANOVA (EST): Dirigeixis cap a VESTÍBUL INFERIOR seguint indicador sortida, passant per la validadora. Surti de l'estació per PG RAFAEL DE CASANOVA (EST), fent servir l'ascensor.
 Per sortir per PG RAFAEL DE CASANOVA (OEST): Dirigeixis cap a VESTÍBUL INFERIOR seguint indicador sortida, passant per la validadora. Surti de l'estació per PG RAFAEL DE CASANOVA (OEST), fent servir l'ascensor.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;CORNELLÀ - RIERA;PIERA;"Entrada per EDICLE NORD (PASSEIG CENTRAL): Accedeixi a l'estació per EDICLE NORD (PASSEIG CENTRAL), fent servir l'ascensor, vagi fins EMBARCAMENT PMR, passant per la validadora.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R6(16 parades). Baixi a PIERA. 
 Per sortir per C. DE L'ESTACIÓ: Surti de l'estació per C. DE L'ESTACIÓ, fent servir l'ascensor o mitjançant rampa i travessant la passera o passadís.
 Per sortir per C. ABAT MARCET: Surti de l'estació per C. ABAT MARCET, fent servir l'ascensor o mitjançant rampa.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;CORNELLÀ - RIERA;EL PALAU;"Entrada per EDICLE NORD (PASSEIG CENTRAL): Accedeixi a l'estació per EDICLE NORD (PASSEIG CENTRAL), fent servir l'ascensor, vagi fins EMBARCAMENT PMR, passant per la validadora.
 ITINERARI: Accedeixi a qualsevol comboi de les línies R5(8 parades) o R6(9 parades) o S4 o S8(10 parades). Baixi a EL PALAU. 
 Per sortir per CARRER PARC VALL PALAU: Dirigeixis cap a VESTÍBUL ANDANA VIA 1 seguint indicador sortida. Surti de l'estació per CARRER PARC VALL PALAU, fent servir l'ascensor o mitjançant rampa, passant per la validadora.
 Per sortir per CARRER ANOIA: Dirigeixis cap a VESTÍBUL ANDANA VIA 1 seguint indicador sortida. Vagi de VESTÍBUL ANDANA VIA 1 fins a VESTÍBUL ANDANA VIA 2, fent servir l'ascensor o mitjançant rampa i travessant la passera o passadís, passant per la validadora. Surti de l'estació per CARRER ANOIA, passant per la validadora.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;CORNELLÀ - RIERA;VALLBONA D'ANOIA;"Entrada per EDICLE NORD (PASSEIG CENTRAL): Accedeixi a l'estació per EDICLE NORD (PASSEIG CENTRAL), fent servir l'ascensor, vagi fins EMBARCAMENT PMR, passant per la validadora.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R6(17 parades). Baixi a VALLBONA D'ANOIA. 
 Per sortir per CARRER MAJOR (B-224): Surti de l'estació per CARRER MAJOR (B-224).
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;CORNELLÀ - RIERA;ABRERA;"Entrada per EDICLE NORD (PASSEIG CENTRAL): Accedeixi a l'estació per EDICLE NORD (PASSEIG CENTRAL), fent servir l'ascensor, vagi fins EMBARCAMENT PMR, passant per la validadora.
 ITINERARI: Accedeixi a qualsevol comboi de les línies R5(11 parades) o S4(14 parades). Baixi a ABRERA. 
 Per sortir per PG. ESTACIÓ: Dirigeixis cap a VESTÍBUL ANDANA VIA 1 seguint indicador sortida. Surti de l'estació per PG. ESTACIÓ, fent servir l'ascensor o mitjançant rampa i travessant la passera o passadís, passant per la validadora.
 Per sortir per AV. DEL CARRILET: Dirigeixis cap a VESTÍBUL ANDANA VIA 1 seguint indicador sortida. Surti de l'estació per AV. DEL CARRILET, mitjançant rampa, passant per la validadora.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;CORNELLÀ - RIERA;LA POBLA DE CLARAMUNT;"Entrada per EDICLE NORD (PASSEIG CENTRAL): Accedeixi a l'estació per EDICLE NORD (PASSEIG CENTRAL), fent servir l'ascensor, vagi fins EMBARCAMENT PMR, passant per la validadora.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R6(19 parades). Baixi a LA POBLA DE CLARAMUNT. 
 Per sortir per APARCAMENT (COSTAT VIA 2): Surti de l'estació per APARCAMENT (COSTAT VIA 2), mitjançant rampa i travessant la passera o passadís.
 Per sortir per AVDA. GUMERSIND BISBAL: Surti de l'estació per AVDA. GUMERSIND BISBAL, mitjançant rampa.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;CORNELLÀ - RIERA;CASTELLBELL I EL VILAR;"Entrada per EDICLE NORD (PASSEIG CENTRAL): Accedeixi a l'estació per EDICLE NORD (PASSEIG CENTRAL), fent servir l'ascensor, vagi fins EMBARCAMENT PMR, passant per la validadora.
 ITINERARI: Accedeixi a qualsevol comboi de la línia R5(15 parades). Baixi a CASTELLBELL I EL VILAR(Només s'utilitza una andana per als dos sentits de circulació). 
 Per sortir per CAMÍ DE L'ESTACIÓ: Surti de l'estació per CAMÍ DE L'ESTACIÓ.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
Llobregat - Anoia;SANT BOI;GORNAL;"Entrada per CARRER TORRES I BAGES: Accedeixi a l'estació per CARRER TORRES I BAGES, fent servir l'ascensor o mitjançant rampa, vagi fins VESTÍBUL INFERIOR, passant per la validadora. Accedeixi a l'andana de la via 2, fent servir l'ascensor, situïs a l'embarcament PMR.
 Entrada per APARCAMENT: Accedeixi a l'estació per APARCAMENT, mitjançant rampa i travessant la passera o passadís, vagi fins VESTÍBUL INFERIOR, passant per la validadora. Accedeixi a l'andana de la via 2, fent servir l'ascensor, situïs a l'embarcament PMR.
 ITINERARI: Accedeixi a qualsevol comboi de les línies L8,R5,R6,S33,S4 o S8(5 parades). Baixi a GORNAL. 
 Per sortir per CARRER CARMEN AMAYA: Dirigeixis cap a VESTÍBUL  seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per CARRER CARMEN AMAYA, fent servir l'ascensor, passant per la validadora.
 Aquest recorregut només es pot realitzar amb combois de 3 cotxes."
